id,nct_id,outcome_type,title,description,time_frame,population,anticipated_posting_date,anticipated_posting_month_year,units,units_analyzed,dispersion_type,param_type
100897585,NCT00142909,PRIMARY,SOWS: the Subjective Opiate Withdrawal Scale,"The Subjective Opiate Withdrawal Scale (SOWS) consists of 16 symptoms rated in intensity by patients on a 5-point scale of intensity as follows: 0=not at all, 1=a little, 2=moderately, 3=quite a bit, 4=extremely. The total score is a sum of item ratings, and ranges from 0 to 64. The greater the score, the greater the intensity of Opiate Withdrawal. Source: Reprinted from Handelsman et al. 1987, p. 296, by courtesy of Marcel Dekker, Inc.Other Sources: Gossop 1990; Bradley et al. 1987. ACCESSED: http://www.ncbi.nlm.nih.gov/books/NBK64244/",12 weeks,,,,units on a scale,,Standard Deviation,MEAN
100897586,NCT00142909,SECONDARY,Systolic Blood Pressure,,12 weeks,,,,mm Hg,,Standard Deviation,MEAN
100897587,NCT00142909,SECONDARY,Diastolic Blood Pressure,,1 Week,,,,mm Hg,,Standard Deviation,MEAN
100897588,NCT00142909,SECONDARY,Diastolic Blood Pressure,,12 weeks,,,,mm Hg,,Standard Deviation,MEAN
100779388,NCT04891107,SECONDARY,Change in Amount of Walking (Steps/Day),Change in amount (steps/day) of walking activity (proof-of-concept) at baseline as compared to during training as measured by the StepWatch Activity Monitor (SAM),8 days,"Data analysis available for 16 participants. Seven (7) participants had no SAM baseline data, therefore the study team could not analyze walking amount pre- and post-intervention for this measure for those participants.",,,daily steps,,Standard Deviation,MEAN
100779389,NCT04891107,SECONDARY,Change in Intensity (Moderate Intensity Minutes; >100 Steps/Min),Change in intensity (moderate intensity minutes; \>100 steps/min) of walking activity (proof-of-concept) at baseline as compared to during training as measured by the StepWatch Activity Monitor (SAM),8 days,"Data analysis is available for 16 participants. Seven (7) participants did not have baseline SAM data available, therefore the study team could not analyze pre- and post-intervention changes in moderate intensity minutes for these participants.",,,moderate intensity minutes,,Standard Deviation,MEAN
100779390,NCT02453555,PRIMARY,Change of Glycosylated Haemoglobin A1c (Glycosylated Haemoglobin A1c After 24 Weeks of Double-blind Treatment From Baseline),Change from baseline in Glycosylated haemoglobin A1c (HbA1c) at Week 24 was calculated as: HbA1c at Week 24 - HbA1c at baseline. Baseline is referred to the last observed measurement prior to the administration of randomized trial medication. Adjusted mean (Least square mean) and its standard error (SE) is presented.,Baseline and 24 week,The primary analysis was performed on the FAS (observed case \[OC\]) with treatment assignment as randomised.,,,Percentage (%),,Standard Error,LEAST_SQUARES_MEAN
100779391,NCT02453555,SECONDARY,Change in HbA1c From Week 28 at Week 52 (Empagliflozin 25 mg/Linagliptin 5 mg Only),"Change from Week 28 in HbA1c at Week 52 was calculated as: HbA1c at Week 52 - HbA1c at Week 28. Week 28 (pre up-titration) is referred to the last observed measurement prior to the first administration of any double-blind randomized trial medication in the up-titration period. Adjusted mean (Least square mean) and its standard error (SE) is presented.

This endpoint was based on 1 group of the Full analysis set with up-titration (FASUT-II) whose dose was up-titrated to Empagliflozin 25 mg/Linagliptin 5 mg fixed dose combination thus there is no comparison group. Hence, no comparison is made. A restricted maximum likelihood (REML)-based mixed model repeated measures (MMRM) approach was used with baseline HbA1c as linear covariate and baseline eGFR, prior use of antidiabetic drug, visit as fixed effect(s). The covariance used to fit the model was unstructured.",28 Week (pre up-titration) and 52 Week,The full analysis set with up-titration-I (FASUT-I) consisted of all patients who were up-titrated and were treated with at least 1 dose of Empagliflozin 25 mg/linagliptin 5 mg or Linagliptin 5 mg + Placebo 25 mg after dose up-titration and who had a baseline HbA1c assessment and at least 1 on-treatment HbA1c assessment after dose up-titration.,,,Percentage (%),,Standard Error,LEAST_SQUARES_MEAN
101014859,NCT04441996,SECONDARY,Cumulative Count of Bleeding and Thromboembolic Complications,"The number of bleeding and thromboembolic complications will be compared between study arms. This endpoint is a composite outcome including any acute bleeding requiring transfusion support, venous thrombosis (deep vein thrombosis or pulmonary embolism), arterial clots (myocardial infarction, stroke, limb ischemia), renal replacement therapy or catheter line related clots. The values reported are cumulative.",Up to Day 28,,,,Participants,,,COUNT_OF_PARTICIPANTS
100779392,NCT02453555,SECONDARY,Change in HbA1c From Baseline at Week 52 (All Empagliflozin Versus All Placebo),Change from baseline in HbA1c at Week 52 was calculated as: HbA1c at Week 52 - HbA1c at baseline. Baseline is referred to the last observed measurement prior to the administration of randomized trial medication. Adjusted mean (Least square mean) and its standard error (SE) is presented.,Baseline and 52 week,The analysis was performed on the FAS (observed case \[OC\]) with treatment assignment as randomised.,,,Percentage (%),,Standard Error,LEAST_SQUARES_MEAN
100779393,NCT02453555,SECONDARY,Change in HbA1c From Baseline at Week 52 (Empagliflozin 25 mg/Linagliptin 5 mg Versus Linagliptin 5 mg + Placebo 25 mg),Change from baseline in HbA1c at Week 52 was calculated as: HbA1c at Week 52 - HbA1c at baseline. Baseline is referred to the last observed measurement prior to the administration of randomized trial medication. Adjusted mean (Least square mean) and its standard error (SE) is presented.,Baseline and 52 week,FASUT-I,,,Percentage (%),,Standard Error,LEAST_SQUARES_MEAN
100779394,NCT02453555,SECONDARY,Change in HbA1c From Baseline at Week 52 (Empagliflozin 25 mg/Linagliptin 5 mg Versus All Placebo),Change from baseline in HbA1c at Week 52 was calculated as: HbA1c at Week 52 - HbA1c at baseline. Baseline is referred to the last observed measurement prior to the administration of randomized trial medication. Adjusted mean (Least square mean) and its standard error (SE) is presented.,Baseline and 52 week,Full analysis set with up-titration-II consisted patients who were up-titrated to Empagliflozin 25/linagliptin 5 and were treated with at least 1 dose after dose up-titration and who were randomized to receive Linagliptin 5 + Placebo 10 or Linagliptin 5 + Placebo 25 and who had HbA1c assessment at baseline and at least once after dose up-titration.,,,Percentage (%),,Standard Error,LEAST_SQUARES_MEAN
100779395,NCT00500760,PRIMARY,Local Regional Control Rate at 2 Years,In this study participants were considered to be in local regional control (LRC) if there was no evidence of active disease in the previously affected/irradiated head-and-neck area. LRC could be achieved at any time following completion of treatment unless disease progression in the local-regional area occurred or the participant received subsequent anti-tumor therapy. Local regional control rate is defined as the Kaplan-Meier (KM) estimate of the proportion of participants with local regional control.,2 years,Efficacy Analysis Set (all randomized participants who received at least 1 dose of protocol-specified treatment according to treatment randomization regardless of treatment received.),,,proportion of paticipants,,95% Confidence Interval,NUMBER
100897589,NCT00459134,PRIMARY,Sexual Function,"Patients filled out the Female Sexual Function Index (FSFI) at baseline and at 4, 8, and 12 weeks following randomization. The FSFI is comprised of 2 questions related to desire, 4 questions related to arousal, 4 questions related to lubrication, 3 questions related to orgasm, 3 questions related to satisfaction, and 3 questions related to pain. Subscale scores range from 1.2 to 6 (desire) or 0 to 6 (arousal, lubrication, orgasm, and pain) or 0.8 to 6 (satisfaction). A total FSFI score is computed as the sum of the individual subscales; the overall score ranges from 2 to 36. Higher scores indicate better sexual function. The primary outcome comparison is at 12 weeks.",12 weeks,Participants who filled out the FSFI at any time,,,units on a scale,,Standard Error,LEAST_SQUARES_MEAN
101133851,NCT04134728,SECONDARY,Percentage of Participants With ACR/EULAR Remission at Week 24 for Placebo Switched Arms That Started Study Intervention From Week 12,"Boolean-based ACR/EULAR remission is achieved if all of the following requirements are met at the same timepoint: Tender Joint Count 68 (TJC68) ≤ 1, Swollen Joint Count 66 (SJC66) ≤ 1, high sensitivity C-reactive Protein (CRP) ≤ 1mg/dl and patient's global assessment of disease activity (PtGA) ≤ 10.",Week 24,The analysis was performed on all randomized participants who switched from placebo to study intervention at Week 12. Analysis was performed using multiple imputation method to handle missing data.,,,Percentage of participants,,,NUMBER
100779396,NCT00500760,SECONDARY,Local Regional Control Rate at 6 Months and 12 Months,Participants were considered to be in local regional control (LRC) if there was no evidence of active disease in the previously affected/irradiated head-and-neck area. LRC could be achieved at any time following completion of treatment unless disease progression in the local-regional area occurred or the participant received subsequent anti-tumor therapy. Local regional control rate is defined as the Kaplan-Meier (KM) estimate of the proportion of participants with local regional control.,6 months and 12 months,Efficacy Analysis Set,,,proportion of paticipants,,95% Confidence Interval,NUMBER
